較差ヒストグラム
下限(mm),上限(mm),度数,比率(%)
(下限未満),-70.0,1211,0.10
-70.0,-67.7,384,0.03
-67.7,-65.4,483,0.04
-65.4,-63.1,576,0.05
-63.1,-60.8,633,0.05
-60.8,-58.5,674,0.06
-58.5,-56.2,777,0.07
-56.2,-53.9,750,0.06
-53.9,-51.6,903,0.08
-51.6,-49.3,974,0.08
-49.3,-47.0,1027,0.09
-47.0,-44.8,1076,0.09
-44.8,-42.5,1091,0.09
-42.5,-40.2,1266,0.11
-40.2,-37.9,1395,0.12
-37.9,-35.6,1588,0.13
-35.6,-33.3,1865,0.16
-33.3,-31.0,2378,0.20
-31.0,-28.7,3195,0.27
-28.7,-26.4,4318,0.36
-26.4,-24.1,5929,0.50
-24.1,-21.8,8584,0.72
-21.8,-19.5,11994,1.00
-19.5,-17.2,16342,1.37
-17.2,-14.9,22057,1.85
-14.9,-12.6,29158,2.44
-12.6,-10.3,37413,3.13
-10.3,-8.0,45796,3.83
-8.0,-5.7,55196,4.62
-5.7,-3.4,63523,5.32
-3.4,-1.1,70499,5.90
-1.1,1.1,75458,6.32
1.1,3.4,79644,6.67
3.4,5.7,80056,6.70
5.7,8.0,78660,6.59
8.0,10.3,74439,6.23
10.3,12.6,68913,5.77
12.6,14.9,61927,5.19
14.9,17.2,54086,4.53
17.2,19.5,45610,3.82
19.5,21.8,37811,3.17
21.8,24.1,30151,2.52
24.1,26.4,23618,1.98
26.4,28.7,18320,1.53
28.7,31.0,13857,1.16
31.0,33.3,11003,0.92
33.3,35.6,8396,0.70
35.6,37.9,6412,0.54
37.9,40.2,5036,0.42
40.2,42.5,4066,0.34
42.5,44.8,3381,0.28
44.8,47.0,2884,0.24
47.0,49.3,2573,0.22
49.3,51.6,2389,0.20
51.6,53.9,2071,0.17
53.9,56.2,1797,0.15
56.2,58.5,1651,0.14
58.5,60.8,1447,0.12
60.8,63.1,1339,0.11
63.1,65.4,1082,0.09
65.4,67.7,881,0.07
67.7,70.0,656,0.05
70.0,(上限超過),1650,0.14
設計面範囲外(除外),,5681,
