出来形合否判定総括表（様式-31-2 準拠）

工事名,【サンプル】市道○○線 道路改良工事（切土のり面）
工事番号,SAMPLE-2026-001
発注者,鹿児島市（サンプル）
受注者,葉月工業株式会社（サンプル）
工種,道路土工 路体盛土工
測定項目,標高較差
合否判定結果,合格
座標系,EPSG:6670（JGD2011 / 平面直角座標系 第II系）
出力日時,2026-09-18T05:01:32.690Z

天端
測定項目,算出結果,単位,規格値(下限),規格値(上限),判定
平均値,4.5,mm,-50,50,合格
最大値(差),58.3,mm,,150,合格
最小値(差),-39.3,mm,-150,,合格
データ数,265.2,点/m2,1,,合格
棄却点数,0.0,%,,0.3,合格
評価面積,1500.0,m2
規格値±50%以内の割合,97.2,%,,,
規格値±50%以内のデータ数,386641,点
規格値±80%以内の割合,99.9,%,,,
規格値±80%以内のデータ数,397492,点
部位判定,,,,,合格

法面
測定項目,算出結果,単位,規格値(下限),規格値(上限),判定
平均値,5.6,mm,-80,80,合格
最大値(差),102.2,mm,,190,合格
最小値(差),-101.5,mm,-190,,合格
データ数,345.7,点/m2,1,,合格
棄却点数,0.0,%,,0.3,合格
評価面積,2304.0,m2
規格値±50%以内の割合,95.0,%,,,
規格値±50%以内のデータ数,756776,点
規格値±80%以内の割合,99.2,%,,,
規格値±80%以内のデータ数,790306,点
部位判定,,,,,合格

総合判定,,,,,合格

【注記】
棄却点は「個々の計測値に対する規格値を超えた点」と解釈している（要領の様式記載例からの推定。本文での明文規定は未確認）。
